Plant_ID,Category,Common_Name,Botanical_Name,Current_Image,Current_Exists,Best_Image,Best_Score,Best_Hits,Would_Apply
1,ANNUALS,Alyssum,,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,TRUE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,11,alyssum; contains:alyssum,FALSE
2,ANNUALS,Angelonia,,/GreenAcres-Images/Annuals/Angelonia_CherryRed_512x.jpg,TRUE,/GreenAcres-Images/Annuals/Angelonia_CherryRed_512x.jpg,14,angelonia; contains:angelonia,FALSE
3,ANNUALS,Annual Dianthus,,/GreenAcres-Images/Annuals/Dianthus_512x.jpg,TRUE,/GreenAcres-Images/Annuals/Dianthus_512x.jpg,14,dianthus; contains:dianthus,FALSE
4,ANNUALS,Annual Verbena,,/GreenAcres-Images/Annuals/VerbenaAnnual_512x.jpg,TRUE,/GreenAcres-Images/Perennials/Verbena_Cadet_CadetPink_512x.jpg,9,verbena; contains:verbena,FALSE
5,ANNUALS,Annual Vinca,,/GreenAcres-Images/Annuals/PW_Vinca_SoireeKawaii_Mosaic_512x.jpg,TRUE,/GreenAcres-Images/Annuals/PW_Vinca_SoireeKawaii_Mosaic_512x.jpg,7,vinca,FALSE
6,ANNUALS,Begonia,,/GreenAcres-Images/Annuals/Begonia_DisplayTables_512x.jpg,TRUE,/GreenAcres-Images/Annuals/Begonia_DisplayTables_512x.jpg,11,begonia; contains:begonia,FALSE
7,ANNUALS,Begonia Nonstop,,/GreenAcres-Images/Annuals/Begonia_NonstopSalmon_512x.jpg,TRUE,/GreenAcres-Images/Annuals/Begonia_NonstopSalmon_512x.jpg,19,begonia; contains:begonia; contains:nonstop; contains:begonianonstop,FALSE
8,ANNUALS,California Poppy,,/GreenAcres-Images/Annuals/Poppy_Eschscholzia_512x.jpg,TRUE,/GreenAcres-Images/Annuals/Poppy_Eschscholzia_512x.jpg,7,poppy,FALSE
9,ANNUALS,Celosia,,/GreenAcres-Images/Annuals/Celosia_DisplayTable_512x.jpg,TRUE,/GreenAcres-Images/Annuals/Celosia_DisplayTable_512x.jpg,11,celosia; contains:celosia,FALSE
10,ANNUALS,Cosmos,,/GreenAcres-Images/Perennials/Cosmos_Cosmos_512x.jpg,TRUE,/GreenAcres-Images/Perennials/Cosmos_Cosmos_512x.jpg,21,cosmos; cosmoscosmos; contains:cosmos; contains:cosmoscosmos,FALSE
11,ANNUALS,Firefly Petunia,,/GreenAcres-Images/Annuals/Petunia_Firefly_512x.jpg,TRUE,/GreenAcres-Images/Annuals/Petunia_Firefly_512x.jpg,32,firefly; petunia; petuniafirefly; contains:firefly; contains:petunia; contains:petuniafirefly,FALSE
12,ANNUALS,Flamethrower Coleus,,/GreenAcres-Images/Annuals/Coleus_FlameThrower_Chipotle2_70702b9c-4b29-47b0-ba65-66e7cad7ccea_512x.jpg,TRUE,/GreenAcres-Images/Annuals/Coleus_FlameThrower_Chipotle2_70702b9c-4b29-47b0-ba65-66e7cad7ccea_512x.jpg,35,flamethrower; coleus; coleusflamethrower; contains:flamethrower; contains:coleus; contains:coleusflamethrower,FALSE
13,ANNUALS,Hippo Polka Dot Plant,,,FALSE,/GreenAcres-Images/Annuals/Houseplants_Hypoestes_PolkaDotPlant_Variety_512x.jpg,6,contains:polkadot,FALSE
14,ANNUALS,Impatiens,,/GreenAcres-Images/Annuals/Impatiens_NewGuinea_Table_512x.jpg,TRUE,/GreenAcres-Images/Annuals/Impatiens_NewGuinea_Table_512x.jpg,14,impatiens; contains:impatiens,FALSE
15,ANNUALS,Lobelia,,/GreenAcres-Images/Annuals/Lobelia_512x.jpg,TRUE,/GreenAcres-Images/Annuals/Lobelia_512x.jpg,11,lobelia; contains:lobelia,FALSE
16,ANNUALS,Marigold,,/GreenAcres-Images/Annuals/Tagetes_Marigold_Table_512x.jpg,TRUE,/GreenAcres-Images/Annuals/Tagetes_Marigold_Table_512x.jpg,14,marigold; contains:marigold,FALSE
17,ANNUALS,Mojave Series Purslane,,/GreenAcres-Images/Annuals/PW_Portulaca_Purslane_MojaveSeries_512x.jpg,TRUE,/GreenAcres-Images/Annuals/PW_Portulaca_Purslane_MojaveSeries_512x.jpg,38,purslane; mojaveseries; contains:mojave; contains:series; contains:purslane; contains:mojaveseries; contains:purslanemojave,FALSE
18,ANNUALS,Nasturtium,,/GreenAcres-Images/Annuals/Nasturtium_Orange_512x.jpg,TRUE,/GreenAcres-Images/Annuals/Nasturtium_Orange_512x.jpg,14,nasturtium; contains:nasturtium,FALSE
19,ANNUALS,New Guinea Impatiens,,/GreenAcres-Images/Annuals/Impatiens_NewGuinea_Table_512x.jpg,TRUE,/GreenAcres-Images/Annuals/Impatiens_NewGuinea_Table_512x.jpg,34,impatiens; newguinea; contains:guinea; contains:impatiens; contains:newguinea; contains:impatiensnew,FALSE
20,ANNUALS,Petunia,,/GreenAcres-Images/Annuals/Petunia_ColorMix_512x.jpg,TRUE,/GreenAcres-Images/Annuals/Petunia_ColorMix_512x.jpg,11,petunia; contains:petunia,FALSE
21,ANNUALS,Pocketbook Flower,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,2,,FALSE
22,ANNUALS,Purslane,,/GreenAcres-Images/Annuals/Portulaca_Purslane_FanfareRed_512x.jpg,TRUE,/GreenAcres-Images/Annuals/Portulaca_Purslane_FanfareRed_512x.jpg,14,purslane; contains:purslane,FALSE
23,ANNUALS,Purslane,,/GreenAcres-Images/Annuals/Portulaca_Purslane_FanfareRed_512x.jpg,TRUE,/GreenAcres-Images/Annuals/Portulaca_Purslane_FanfareRed_512x.jpg,14,purslane; contains:purslane,FALSE
24,ANNUALS,Red Hot Sally Sage,,/GreenAcres-Images/Annuals/Impatiens_Sunpatiens_Red_512x.jpg,TRUE,/GreenAcres-Images/Annuals/Salvia_Annual_RedHotSally3_512x.jpg,10,contains:redhot; contains:hotsally,FALSE
25,ANNUALS,Sage Victoria Blue,,/GreenAcres-Images/Annuals/Salvia_Farinacea_VictoriaBlue_512x.jpg,TRUE,/GreenAcres-Images/Annuals/Salvia_Farinacea_VictoriaBlue_512x.jpg,18,victoriablue; contains:victoria; contains:victoriablue,FALSE
26,ANNUALS,Soiree Kawaii Series Vinca,,/GreenAcres-Images/Annuals/PW_Vinca_SoireeKawaii_Mosaic_512x.jpg,TRUE,/GreenAcres-Images/Annuals/PW_Vinca_SoireeKawaii_Mosaic_512x.jpg,31,vinca; soireekawaii; contains:soiree; contains:kawaii; contains:soireekawaii; contains:vincasoiree,FALSE
27,ANNUALS,Star Clusters,,/GreenAcres-Images/Shrubs/Thuja_NorthPole_Cluster_512x.jpg,TRUE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,2,,FALSE
28,ANNUALS,Sunbelievable Sunflower Monrovia,,/GreenAcres-Images/Annuals/Helianthus_Sunflower_SunBelievable_Monrovia_512x.jpg,TRUE,/GreenAcres-Images/Annuals/Helianthus_Sunflower_SunBelievable_Monrovia_512x.jpg,38,sunbelievable; sunflower; sunflowersunbelievable; contains:sunbelievable; contains:sunflower; contains:sunflowersunbelievable,FALSE
29,ANNUALS,Suncredible Yellow Sunflower,,/GreenAcres-Images/Annuals/Helianthus_Sunflower_512x.jpg,TRUE,/GreenAcres-Images/Annuals/Helianthus_Sunflower_512x.jpg,14,sunflower; contains:sunflower,FALSE
30,ANNUALS,Sunflower,,/GreenAcres-Images/Annuals/Helianthus_Sunflower_512x.jpg,TRUE,/GreenAcres-Images/Annuals/Helianthus_Sunflower_512x.jpg,14,sunflower; contains:sunflower,FALSE
31,ANNUALS,Sunpatiens,,/GreenAcres-Images/Annuals/Impatiens_Sunpatiens_Red_512x.jpg,TRUE,/GreenAcres-Images/Annuals/Impatiens_Sunpatiens_Red_512x.jpg,14,sunpatiens; contains:sunpatiens,FALSE
32,ANNUALS,Supertunia Series Petunias,,/GreenAcres-Images/Annuals/PW_Supertunia_Mosaic_512x.jpg,TRUE,/GreenAcres-Images/Annuals/PW_Supertunia_Mosaic_512x.jpg,14,supertunia; contains:supertunia,FALSE
33,ANNUALS,Surefire Cascade Red Begonia,,/GreenAcres-Images/Annuals/Begonia_SurefireCascadeRed_512x.jpg,TRUE,/GreenAcres-Images/Annuals/Begonia_SurefireCascadeRed_512x.jpg,31,begonia; contains:surefire; contains:cascade; contains:begonia; contains:surefirecascade; contains:cascadered; contains:begoniasurefire,FALSE
34,ANNUALS,Zinnia,,/GreenAcres-Images/Annuals/Zinnia_512x.jpg,TRUE,/GreenAcres-Images/Annuals/Zinnia_512x.jpg,11,zinnia; contains:zinnia,FALSE
35,HERBS AND VEGETABLES,Armenian Cucumbers,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
36,HERBS AND VEGETABLES,Basil Dark Opal,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
37,HERBS AND VEGETABLES,Basil Large Leaf Italian,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
38,HERBS AND VEGETABLES,Basil Sweet Genovese,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
39,HERBS AND VEGETABLES,Basil Thai,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
40,HERBS AND VEGETABLES,Bitter Melon,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
41,HERBS AND VEGETABLES,Borage,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
42,HERBS AND VEGETABLES,Bush Bean Blue Lake,,,FALSE,/GreenAcres-Images/Perennials/Columbine_Blue_512x.jpg,3,blue,FALSE
43,HERBS AND VEGETABLES,Catnip,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
44,HERBS AND VEGETABLES,Celery,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
45,HERBS AND VEGETABLES,Chamomile,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
46,HERBS AND VEGETABLES,Chives,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
47,HERBS AND VEGETABLES,Chives Garlic,,,FALSE,/GreenAcres-Images/Perennials/Tulbaghia_SocietyGarlic_Buds2_512x.jpg,4,contains:garlic,FALSE
48,HERBS AND VEGETABLES,Chives Onion Organic Chives,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
49,HERBS AND VEGETABLES,Cilantro Coriander,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
50,HERBS AND VEGETABLES,Collard Greens,,,FALSE,/GreenAcres-Images/Perennials/Succulents_Aloe_GreenSand3_512x.jpg,4,contains:greens,FALSE
51,HERBS AND VEGETABLES,Corn Bicolor,,/GreenAcres-Images/Shrubs/Dietes_Bicolor_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/Dietes_Bicolor_512x.jpg,9,bicolor; contains:bicolor,FALSE
52,HERBS AND VEGETABLES,Cucamelon,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
53,HERBS AND VEGETABLES,Cucumber Burpless,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
54,HERBS AND VEGETABLES,Cucumber English,,,FALSE,/GreenAcres-Images/Perennials/EnglishIvy_Closeup_67fe1216-0557-48f8-8128-0ca85a25de27_512x.jpg,4,contains:english,FALSE
55,HERBS AND VEGETABLES,Cucumber Japanese Long,,,FALSE,/GreenAcres-Images/Perennials/Hakonechloa_JapaneseForestGrass_512x.jpg,4,contains:japanese,FALSE
56,HERBS AND VEGETABLES,Cucumber Lemon,,/GreenAcres-Images/Citrus-and-Fruit/Lemon_Eureka_512x.jpg,TRUE,/GreenAcres-Images/Citrus-and-Fruit/Lemon_Eureka_512x.jpg,5,lemon,FALSE
57,HERBS AND VEGETABLES,Cucumber Persian,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
58,HERBS AND VEGETABLES,Cucumber Pickling Bush,,,FALSE,/GreenAcres-Images/Shrubs/Prunus_CarolinaCherryLaurel_Bush_512x.jpg,3,bush,FALSE
59,HERBS AND VEGETABLES,Cucumber Saladmore Bush Hybrid,,,FALSE,/GreenAcres-Images/Shrubs/Prunus_CarolinaCherryLaurel_Bush_512x.jpg,3,bush,FALSE
60,HERBS AND VEGETABLES,Cucumber Spartan Valor,,,FALSE,/GreenAcres-Images/Citrus-and-Fruit/Blueberry_Spartan_v2_512x.jpg,9,spartan; contains:spartan,FALSE
61,HERBS AND VEGETABLES,Dill,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
62,HERBS AND VEGETABLES,Dill Organic,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
63,HERBS AND VEGETABLES,Edamame Beans,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
64,HERBS AND VEGETABLES,Eggplant Black Beauty,,,FALSE,/GreenAcres-Images/Perennials/Salvia_apiana_Beauty_512x.jpg,9,beauty; contains:beauty,FALSE
65,HERBS AND VEGETABLES,Eggplant Cloud Nine,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
66,HERBS AND VEGETABLES,Eggplant Fairy Tale,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
67,HERBS AND VEGETABLES,Eggplant Ichiban,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
68,HERBS AND VEGETABLES,Eggplant Japanese Long,,,FALSE,/GreenAcres-Images/Perennials/Hakonechloa_JapaneseForestGrass_512x.jpg,4,contains:japanese,FALSE
69,HERBS AND VEGETABLES,Eggplant Millionaire,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
70,HERBS AND VEGETABLES,Fava Bean,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
71,HERBS AND VEGETABLES,Fennel Green Leaf,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
72,HERBS AND VEGETABLES,Italian Parsley Organic,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
73,HERBS AND VEGETABLES,Kale Blue Knight,,,FALSE,/GreenAcres-Images/Perennials/Columbine_Blue_512x.jpg,3,blue,FALSE
74,HERBS AND VEGETABLES,Kale Dinosaur,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
75,HERBS AND VEGETABLES,Kale Red Russian,,,FALSE,/GreenAcres-Images/Perennials/Perovskia_RussianSage_512x.jpg,4,contains:russian,FALSE
76,HERBS AND VEGETABLES,Lavender,,/GreenAcres-Images/Perennials/Lavender_AnoukDeepRose_512x.jpg,TRUE,/GreenAcres-Images/Perennials/Lavender_AnoukDeepRose_512x.jpg,12,lavender; contains:lavender,FALSE
77,HERBS AND VEGETABLES,Lemon Balm,,/GreenAcres-Images/Citrus-and-Fruit/Lemon_Eureka_512x.jpg,TRUE,/GreenAcres-Images/Citrus-and-Fruit/Lemon_Eureka_512x.jpg,5,lemon,FALSE
78,HERBS AND VEGETABLES,Lemon Grass,,/GreenAcres-Images/Citrus-and-Fruit/Lemon_Eureka_512x.jpg,TRUE,/GreenAcres-Images/Citrus-and-Fruit/Lemon_Eureka_512x.jpg,5,lemon,FALSE
79,HERBS AND VEGETABLES,Lemon Thyme,,/GreenAcres-Images/Citrus-and-Fruit/Lemon_Eureka_512x.jpg,TRUE,/GreenAcres-Images/Citrus-and-Fruit/Lemon_Eureka_512x.jpg,5,lemon,FALSE
80,HERBS AND VEGETABLES,Lemon Verbena,,/GreenAcres-Images/Citrus-and-Fruit/Lemon_Eureka_512x.jpg,TRUE,/GreenAcres-Images/Perennials/Verbena_Cadet_CadetPink_512x.jpg,9,verbena; contains:verbena,FALSE
81,HERBS AND VEGETABLES,Marjoram Sweet,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
82,HERBS AND VEGETABLES,Melon Ambrosia Cantaloupe,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
83,HERBS AND VEGETABLES,Melon Ball Hybrid Cantaloupe,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
84,HERBS AND VEGETABLES,Melon Crenshaw,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
85,HERBS AND VEGETABLES,Melon Gold Star Cantaloupe,,,FALSE,/GreenAcres-Images/Shrubs/Spirea_DoublePlay_Gold_Bush_512x.jpg,3,gold,FALSE
86,HERBS AND VEGETABLES,Melon Hales Best Cantaloupe,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
87,HERBS AND VEGETABLES,Melon Harpers Hybrid Cantaloupe,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
88,HERBS AND VEGETABLES,Melon Honeydew,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
89,HERBS AND VEGETABLES,Melon Roadside Cantaloupe,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
90,HERBS AND VEGETABLES,Mint Chocolate,,,FALSE,/GreenAcres-Images/Perennials/Kalanchoe_ChocolateSoldierLL_512x.jpg,4,contains:chocolate,FALSE
91,HERBS AND VEGETABLES,Mint Peppermint,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
92,HERBS AND VEGETABLES,Mint Spearmint,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
93,HERBS AND VEGETABLES,Momotaro,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
94,HERBS AND VEGETABLES,Okra Clemson Spineless,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
95,HERBS AND VEGETABLES,Okra Red Burgundy,,/GreenAcres-Images/Citrus-and-Fruit/Plum_Prunus_Burgundy_512x.jpg,TRUE,/GreenAcres-Images/Citrus-and-Fruit/Plum_Prunus_Burgundy_512x.jpg,12,burgundy; contains:burgundy,FALSE
96,HERBS AND VEGETABLES,Onion Scallions Green Onions,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
97,HERBS AND VEGETABLES,Onion Shallots,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
98,HERBS AND VEGETABLES,Onion Stockton Red,,,FALSE,/GreenAcres-Images/Annuals/Impatiens_Sunpatiens_Red_512x.jpg,3,red,FALSE
99,HERBS AND VEGETABLES,Onion White,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,5,white,FALSE
100,HERBS AND VEGETABLES,Onion Yellow,,,FALSE,/GreenAcres-Images/Perennials/Anigozanthos_KangarooPaw_Yellow_CloseUp_512x.jpg,9,yellow; contains:yellow,FALSE
101,HERBS AND VEGETABLES,Oregano Greek,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
102,HERBS AND VEGETABLES,Oregano Hot N Spicy,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
103,HERBS AND VEGETABLES,Oregano Italian,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
104,HERBS AND VEGETABLES,Organic Cilantro Coriander,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
105,HERBS AND VEGETABLES,Organic Melon Hearts Of Gold,,,FALSE,/GreenAcres-Images/Perennials/Ipomoea_SweetPotatoVineWithBlackHeartSweetPotato_512x.jpg,4,contains:hearts,FALSE
106,HERBS AND VEGETABLES,Organic Mint Spearmint,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
107,HERBS AND VEGETABLES,Organic Oregano Italian,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
108,HERBS AND VEGETABLES,Organic Rosemary Barbecue,,/GreenAcres-Images/Shrubs/Rosemary_ChefsChoice_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/Rosemary_ChefsChoice_512x.jpg,12,rosemary; contains:rosemary,FALSE
109,HERBS AND VEGETABLES,Organic Thyme English,,,FALSE,/GreenAcres-Images/Perennials/EnglishIvy_Closeup_67fe1216-0557-48f8-8128-0ca85a25de27_512x.jpg,4,contains:english,FALSE
110,HERBS AND VEGETABLES,Organic Thyme Lemon,,,FALSE,/GreenAcres-Images/Citrus-and-Fruit/Lemon_Eureka_512x.jpg,5,lemon,FALSE
111,HERBS AND VEGETABLES,Parsley Curly Leaf,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
112,HERBS AND VEGETABLES,Parsley Italian,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
113,HERBS AND VEGETABLES,Pepper Anaheim,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
114,HERBS AND VEGETABLES,Pepper Big Bertha,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
115,HERBS AND VEGETABLES,Pepper Calabrian,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
116,HERBS AND VEGETABLES,Pepper Caribbean Red,,,FALSE,/GreenAcres-Images/Annuals/Impatiens_Sunpatiens_Red_512x.jpg,3,red,FALSE
117,HERBS AND VEGETABLES,Pepper Carolina Reaper,,,FALSE,/GreenAcres-Images/Shrubs/Prunus_CarolinaCherryLaurel_Bush_512x.jpg,4,contains:carolina,FALSE
118,HERBS AND VEGETABLES,Pepper Cayenne,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
119,HERBS AND VEGETABLES,Pepper Chile De Arbol,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
120,HERBS AND VEGETABLES,Pepper Eisley Wax,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
121,HERBS AND VEGETABLES,Pepper Fresno,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
122,HERBS AND VEGETABLES,Pepper Garden Salsa,,,FALSE,/GreenAcres-Images/Citrus-and-Fruit/Nectarine_Prunus_GardenDelight_Miniature_512x.jpg,4,contains:garden,FALSE
123,HERBS AND VEGETABLES,Pepper Ghost,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
124,HERBS AND VEGETABLES,Pepper Green Bell,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
125,HERBS AND VEGETABLES,Pepper Gypsy,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
126,HERBS AND VEGETABLES,Pepper Habanero,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
127,HERBS AND VEGETABLES,Pepper Hot Hungarian Wax,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
128,HERBS AND VEGETABLES,Pepper Italian Long,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
129,HERBS AND VEGETABLES,Pepper Jalapeno,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
130,HERBS AND VEGETABLES,Pepper Jimmy Nardello,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
131,HERBS AND VEGETABLES,Pepper Marconi,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
132,HERBS AND VEGETABLES,Pepper Orange Bell,,,FALSE,/GreenAcres-Images/Annuals/Nasturtium_Orange_512x.jpg,9,orange; contains:orange,FALSE
133,HERBS AND VEGETABLES,Pepper Padron,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
134,HERBS AND VEGETABLES,Pepper Pepperoncini,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
135,HERBS AND VEGETABLES,Pepper Poblano,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
136,HERBS AND VEGETABLES,Pepper Purple Bell,,,FALSE,/GreenAcres-Images/Perennials/ArmeriaAlliacea_Purple_a3403b91-cb58-4adf-b29a-37e4f3bfb5e6_512x.jpg,9,purple; contains:purple,FALSE
137,HERBS AND VEGETABLES,Pepper Red Bell,,,FALSE,/GreenAcres-Images/Annuals/Impatiens_Sunpatiens_Red_512x.jpg,3,red,FALSE
138,HERBS AND VEGETABLES,Pepper Scotch Bonnet,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
139,HERBS AND VEGETABLES,Pepper Serrano,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
140,HERBS AND VEGETABLES,Pepper Shishito,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
141,HERBS AND VEGETABLES,Pepper Snackabelle Red,,,FALSE,/GreenAcres-Images/Annuals/Impatiens_Sunpatiens_Red_512x.jpg,3,red,FALSE
142,HERBS AND VEGETABLES,Pepper Spanish Sweet,,,FALSE,/GreenAcres-Images/Perennials/LavenderStoechas_SpanishLavender_512x.jpg,4,contains:spanish,FALSE
143,HERBS AND VEGETABLES,Pepper Sweet Banana,,,FALSE,/GreenAcres-Images/Perennials/Ensete_RedAbyssinianBanana_512x.jpg,4,contains:banana,FALSE
144,HERBS AND VEGETABLES,Pepper Sweet Cherry,,,FALSE,/GreenAcres-Images/Citrus-and-Fruit/Cherry_Prunus_Bing_512x.jpg,9,cherry; contains:cherry,FALSE
145,HERBS AND VEGETABLES,Pepper Sweet Italian,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
146,HERBS AND VEGETABLES,Pepper Thai,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
147,HERBS AND VEGETABLES,Pepper Tobasco,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
148,HERBS AND VEGETABLES,Pepper Yellow Bell,,,FALSE,/GreenAcres-Images/Perennials/Anigozanthos_KangarooPaw_Yellow_CloseUp_512x.jpg,9,yellow; contains:yellow,FALSE
149,HERBS AND VEGETABLES,Pole Bean Blue Lake,,,FALSE,/GreenAcres-Images/Perennials/Columbine_Blue_512x.jpg,3,blue,FALSE
150,HERBS AND VEGETABLES,Pole Bean Kentucky Wonder,,,FALSE,/GreenAcres-Images/Citrus-and-Fruit/Pomegranate_Wonderful_02_512x.jpg,4,contains:wonder,FALSE
151,HERBS AND VEGETABLES,Pole Bean Romano,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
152,HERBS AND VEGETABLES,Pumpkin Big Max,,,FALSE,/GreenAcres-Images/Annuals/Alyssum_White_512x.jpg,0,,FALSE
